mood,id,title,vote_count,vote_average,popularity,release_date,genre_ids
癒された,1311031,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,394,7.807,505.3477,2025-07-18,"[16, 28, 14, 53]"
癒された,987400,Batman Azteca: Choque de imperios,79,7.899,198.2592,2025-09-18,"[16, 28, 12, 14]"
癒された,803796,KPOPガールズ! デーモン・ハンターズ,1523,8.3,160.9413,2025-06-20,"[10751, 10402, 35, 12, 14, 16, 27]"
癒された,1087192,ヒックとドラゴン,1965,8.03,137.6397,2025-09-05,"[14, 10751, 28, 12]"
癒された,938086,위험한 사촌동생,3,8.7,110.6453,2021-11-23,"[18, 10751]"
癒された,1218925,チェンソーマン レゼ篇,7,9.286,113.8034,2025-09-19,"[16, 28, 14]"
癒された,1175942,バッドガイズ 2,408,7.8,98.9669,2025-07-24,"[16, 10751, 35, 80, 12]"
癒された,980477,ナタ 魔童の大暴れ,379,8.053,87.2844,2025-03-14,"[16, 14, 12, 28]"
癒された,552524,リロ＆スティッチ,1671,7.269,86.9977,2025-06-06,"[10751, 878, 35, 12]"
癒された,1022787,星つなぎのエリオ,502,6.928,68.7748,2025-06-18,"[10751, 35, 12, 16, 878]"
癒された,974397,My Freaky Family,6,7.0,51.1213,2024-04-25,"[16, 10751, 14]"
癒された,615453,ナタ～魔童降臨～,660,7.901,51.0604,2019-07-26,"[16, 14, 12]"
癒された,1125257,シャッフル・フライデー,196,6.888,45.8911,2025-09-05,"[35, 14, 10751]"
癒された,936108,劇場版スマーフ／おどるキノコ村の時空大冒険（パラレルアドベンチャー）,189,6.04,38.4192,2025-09-19,"[16, 10751, 14]"
癒された,1241982,モアナと伝説の海２,2715,7.0,37.1437,2024-12-06,"[10751, 35, 12, 16]"
癒された,950387,マインクラフト／ザ・ムービー,2374,6.366,37.632,2025-04-25,"[10751, 35, 12]"
癒された,1326106,アニメ『怪獣８号』第１期総集編／同時上映「保科の休日」,65,7.923,37.48,2025-03-28,"[16, 28, 878]"
癒された,1029575,ファミリー・プラン,1615,7.251,43.2175,2023-12-15,"[28, 35, 10751]"
癒された,9806,Mr.インクレディブル,18299,7.718,31.9839,2004-12-04,"[28, 12, 16, 10751]"
癒された,939243,ソニック × シャドウ TOKYO MISSION,2954,7.7,31.7675,2024-12-27,"[28, 878, 35, 10751]"
癒された,635302,劇場版「鬼滅の刃」無限列車編,4253,8.21,34.0079,2020-10-16,"[16, 28, 14, 53]"
癒された,997892,The Island of Lost Girls,5,5.2,31.1441,2024-12-19,"[10751, 12, 53]"
癒された,3933,ティム・バートンのコープスブライド,9723,7.584,30.8544,2005-10-22,"[10749, 14, 16]"
癒された,791155,シークレット・ヘッドクォーターズ,385,6.456,32.6705,2022-08-12,"[28, 12, 35, 878, 10751]"
癒された,1022789,インサイド・ヘッド２,6148,7.552,32.1916,2024-08-01,"[16, 12, 35, 10751]"
癒された,814662,劇場編集版 かくしごと ―ひめごとはなんですか―,8,7.1,29.7737,2021-07-09,"[16, 35]"
癒された,411,ナルニア国物語／第1章：ライオンと魔女,11084,7.133,28.1675,2006-03-04,"[12, 10751, 14]"
癒された,519182,怪盗グルーのミニオン超変身,2929,7.012,27.6234,2024-07-19,"[10751, 35, 16, 878]"
癒された,1011985,カンフー・パンダ 4 伝説のマスター降臨,3225,7.0,27.2467,2024-12-04,"[16, 10751, 28, 35, 12, 14]"
癒された,862,トイ・ストーリー,19165,8.0,25.524,1996-03-23,"[10751, 35, 16]"
癒された,260513,インクレディブル・ファミリー,13273,7.455,25.7581,2018-08-01,"[28, 12, 16, 10751]"
癒された,1376434,プレデター：最凶頂上決戦,863,7.893,27.4301,2025-06-06,"[16, 28, 878, 53]"
癒された,354912,リメンバー・ミー,20257,8.202,22.7317,2018-03-16,"[10751, 16, 10402, 12]"
癒された,14836,コララインとボタンの魔女,8556,7.898,21.7838,2010-02-19,"[16, 10751, 14]"
癒された,808,シュレック,17987,7.752,21.3421,2001-12-15,"[16, 35, 14, 12, 10751]"
癒された,1280282,ギャビーのドールハウス ザ・ムービー,5,6.5,21.3282,2026-03-13,"[10751, 35, 12]"
癒された,762509,ライオン・キング：ムファサ,2380,7.36,21.6089,2024-12-20,"[12, 10751, 16]"
癒された,129,千と千尋の神隠し,17506,8.536,19.9785,2001-07-20,"[16, 10751, 14]"
癒された,820232,鬼滅の刃 兄妹の絆,228,7.912,19.948,2019-03-29,"[16, 28, 14, 53]"
癒された,569094,スパイダーマン：アクロス・ザ・スパイダーバース,7922,8.34,20.073,2023-06-16,"[16, 28, 12, 878]"
癒された,1184918,野生の島のロズ,5376,8.3,20.7052,2025-02-07,"[16, 878, 10751]"
癒された,650498,囀る鳥は羽ばたかない The clouds gather,32,6.8,20.4677,2020-02-15,"[16, 18]"
癒された,1515395,LEGO ディズニープリンセス:ヴィランズ大集合,6,8.083,20.5478,2025-08-24,"[16, 35, 14, 12, 10751]"
癒された,1314784,ഹൃദയപൂര്‍വ്വം,5,8.4,19.3057,2025-08-28,"[10749, 35, 18, 10751]"
癒された,78080,Beethoven's Christmas Adventure,154,5.9,18.6814,2011-11-07,"[10751, 35, 14]"
癒された,823219,Flow,2322,8.144,18.3587,2025-03-14,"[16, 12, 14, 10751]"
癒された,447273,白雪姫,1398,4.298,20.1738,2025-03-20,"[10751, 14]"
癒された,177572,ベイマックス,16104,7.727,19.3368,2014-12-20,"[12, 10751, 16, 28, 35]"
癒された,928833,Craig Before the Creek,68,7.8,16.818,2023-12-11,"[16, 10751, 10770, 12, 35, 14]"
癒された,109445,アナと雪の女王,17084,7.248,17.178,2014-03-14,"[16, 10751, 12, 14]"
癒された,2062,レミーのおいしいレストラン,17815,7.832,17.3551,2007-07-14,"[16, 35, 10751, 14]"
癒された,502356,ザ・スーパーマリオブラザーズ・ムービー,9974,7.607,17.469,2023-04-28,"[10751, 35, 12, 16]"
癒された,629542,バッドガイズ,2349,7.534,17.9668,2022-10-07,"[10751, 35, 80, 12, 16]"
癒された,150540,インサイド・ヘッド,22815,7.91,17.6171,2015-07-18,"[16, 10751, 12, 18, 35]"
癒された,1287536,Dora and the Search for Sol Dorado,92,6.6,17.5145,2025-07-02,"[10751, 35, 12]"
癒された,324857,スパイダーマン：スパイダーバース,16474,8.397,16.3687,2019-03-08,"[16, 28, 12, 878]"
癒された,332512,Призрак,58,6.3,17.2929,2015-03-26,"[10751, 35]"
癒された,372058,君の名は。,12008,8.48,16.3581,2016-08-26,"[16, 10749, 18]"
癒された,585,モンスターズ・インク,19134,7.846,16.1587,2002-03-02,"[16, 35, 10751]"
癒された,9479,ナイトメアー・ビフォア・クリスマス,9914,7.835,16.0839,2023-10-20,"[14, 16, 10751]"
癒された,10681,ウォーリー,19533,8.1,16.055,2008-12-05,"[16, 10751, 878]"
癒された,150689,シンデレラ,7226,6.825,15.4034,2015-04-25,"[10749, 14, 10751, 18]"
癒された,1064307,Spermageddon,74,6.7,15.1314,2025-02-21,"[16, 12, 14, 35]"
癒された,976573,マイ・エレメント,4974,7.6,15.4174,2023-08-04,"[10751, 14, 35, 10749, 16]"
癒された,863,トイ・ストーリー2,14382,7.602,15.3843,2000-03-11,"[16, 35, 10751]"
癒された,269149,ズートピア,16950,7.8,15.1122,2016-04-23,"[16, 12, 10751, 35]"
癒された,748783,ねこのガーフィールド,1332,7.039,16.1973,2024-08-16,"[10751, 35, 12, 16]"
癒された,82702,ヒックとドラゴン2,10057,7.675,14.3559,2015-03-19,"[14, 28, 12, 16, 35, 10751]"
癒された,270946,ペンギンズ FROM マダガスカル ザ・ムービー,4319,6.53,13.9642,2015-11-14,"[10751, 16, 12, 35]"
癒された,80741,劇場版 頭文字D Third Stage,45,6.9,15.3901,2001-01-13,"[28, 16, 10749]"
癒された,1484453,スヌーピー プレゼンツ：サマー・ミュージカル,17,7.5,15.3843,2025-08-15,"[16, 10751]"
癒された,38757,塔の上のラプンツェル,11939,7.611,14.9844,2011-03-12,"[16, 10751, 12]"
癒された,404378,ボブという名の猫 幸せのハイタッチ,1499,7.902,13.7034,2017-08-26,"[10751, 18]"
癒された,390635,劇場版「Fate/stay night [Heaven’s Feel]」Ⅲ.spring song,187,7.725,14.6321,2020-08-15,"[16, 10749, 14, 28, 18]"
癒された,666154,Kayara,100,7.6,14.5425,2025-01-02,"[16, 12, 10751]"
癒された,8355,アイス・エイジ3 ティラノのおとしもの,8612,6.8,14.5077,2009-07-25,"[16, 35, 10751, 12]"
癒された,425,アイス・エイジ,13816,7.4,14.4725,2002-08-03,"[16, 35, 10751, 12]"
癒された,315162,長ぐつをはいたネコと9つの命,8417,8.212,15.3464,2023-03-17,"[16, 12, 14, 35, 10751]"
癒された,809,シュレック2,12921,7.302,14.3821,2004-07-24,"[16, 10751, 35, 14, 12]"
癒された,4935,ハウルの動く城,10542,8.396,14.3598,2004-11-19,"[14, 16, 12]"
癒された,17880,きいてほしいの、あたしのこと ウィン・ディキシーのいた夏,235,6.4,14.2494,2005-10-28,"[10751, 35, 18]"
癒された,1357633,俺だけレベルアップな件 -ReAwakening-,236,7.0,15.4058,2024-11-29,"[28, 12, 14, 16]"
癒された,12155,アリス・イン・ワンダーランド,14401,6.636,13.7809,2010-04-17,"[10751, 14, 12]"
癒された,10192,シュレック フォーエバー,7661,6.388,13.7703,2010-12-18,"[35, 12, 14, 16, 10751]"
癒された,9502,カンフー・パンダ,12125,7.306,13.7363,2008-07-26,"[16, 10751, 35, 28, 12]"
癒された,10191,ヒックとドラゴン,13791,7.853,13.7238,2010-08-07,"[14, 12, 16, 10751]"
癒された,8587,ライオン・キング,19041,8.256,13.7227,1994-07-23,"[10751, 16, 18, 14, 12]"
癒された,10674,ムーラン,10105,7.9,13.6657,1998-09-26,"[16, 10751, 12]"
癒された,14160,カールじいさんの空飛ぶ家,20983,7.959,13.4623,2009-12-05,"[16, 35, 10751, 12]"
癒された,49013,カーズ２,8166,6.2,13.7984,2011-07-30,"[16, 10751, 12, 35]"
癒された,166428,ヒックとドラゴン 聖地への冒険,6815,7.749,14.1753,2019-12-20,"[16, 10751, 12]"
癒された,527774,ラーヤと龍の王国,7049,7.821,13.243,2021-03-12,"[16, 10751, 14, 28, 12]"
癒された,947478,ディプロドクス～恐竜とボク～,9,7.2,14.165,2024-10-04,"[16, 10751, 12, 14, 35]"
癒された,1329336,バッドガイズ: 身の毛もよだつ大強盗,140,6.929,13.2661,2024-10-03,"[16, 35]"
癒された,12,ファインディング・ニモ,19931,7.817,13.1014,2003-11-29,"[16, 10751]"
癒された,11544,リロ・アンド・スティッチ,6805,7.559,12.9793,2003-03-08,"[16, 10751, 35]"
癒された,508947,私ときどきレッサーパンダ,5546,7.3,13.2312,2022-03-11,"[16, 10751, 35, 14]"
癒された,128,もののけ姫,8537,8.327,12.8409,1997-07-12,"[12, 14, 16]"
癒された,38567,劇場版 ×××HOLiC 真夏ノ夜ノ夢,34,6.3,6.8127,2005-08-19,"[16, 35, 18, 9648, 14]"
癒された,953,マダガスカル,11299,6.916,12.7595,2005-08-13,"[10751, 16, 12, 35]"
泣いた,911430,F1／エフワン,2217,7.833,142.8594,2025-06-27,"[28, 18]"
